name,Bo,R^2
c6ce00407e_c6ce00407e1_clean,5.37,0.947
c6ce00407e_c6ce00407e2_clean,2.77,0.120
c6ce00407e_c6ce00407e3_clean,33.68,1.000
c6ce00407e_c6ce00407e7_clean,10.60,1.000
c6ce00407e_c6ce00407e9_clean,0.63,1.000
cg400449c_si_001_clean,11.03,1.000
cg500175k_si_001_auto,6.26,0.997
cg501730q_si_002_clean,9.78,1.000
cm501138g_si_002_clean,33.42,1.000
cm501138g_si_005_clean,33.42,1.000
cm501138g_si_006_clean,33.42,1.000
cm501138g_si_008_clean,33.42,1.000
cm501138g_si_009_clean,33.42,1.000
cm501138g_si_010_clean,33.42,1.000
cm501138g_si_011_clean,33.42,1.000
cm501138g_si_012_clean,33.42,1.000
ic034943jsi20030807_040506_clean,7.33,1.000
ic502921j_si_002_clean,31.06,1.000
ic5b00194_si_002_clean,20.08,1.000
j.inoche.2015.05.017_inc05998-mmc2_clean,9.05,1.000
ja203898s_si_004_clean,7.85,1.000
ja203898s_si_006_clean,3.30,0.896
science.1056698_manual,5.76,0.999
